"kind";"etag";"id";"publishedAt";"channelId";"title";"description";"url";"channelTitle";"playlistId";"position";"videoId";"videoOwnerChannelTitle";"videoOwnerChannelId"
"youtube#playlistItem";"IimnEIbFlb4HvFQVxl3Qvaa0KPM";"VVV0bWtnZ01oWGYxeTRrNWR6SXNpWVJBLnBDUUFyamZMU1RF";"2026-03-25T10:27:40Z";"UCtmkggMhXf1y4k5dzIsiYRA";"BJ Duck - A Bear Needs Love Too";"Label: Big Bear\/nrCountry: UK 🇬🇧\/nrRelease: 2003\/nr\/nr🧸\/nr\/nrThanks and congrats to everyone involved in the making of this tune.\/nr\/nrhttps://www.discogs.com/fr/release/52152-BJ-Duck-Big-Black-Wax\/nr\/nrTrack uploaded for promotion only, low quality upload (mp3 128), please contact me if you want the track removed. \/nr\/nrContact IG: @jozmusic";"https://i.ytimg.com/vi/pCQArjfLSTE/sddefault.jpg";"Jozuplodz";"UUtmkggMhXf1y4k5dzIsiYRA";"0";"pCQArjfLSTE";"Jozuplodz";"UCtmkggMhXf1y4k5dzIsiYRA"
"youtube#video";"h8a7eoB2l2tvZyAZFC9t2BQScCs";"VVV0bWtnZ01oWGYxeTRrNWR6SXNpWVJBLlFISm1hR0FDem93";"2026-03-22T17:00:29Z";"UCtmkggMhXf1y4k5dzIsiYRA";"Zwap - Piche Dj (Tchoufa Figua Mix)";"Label: Barclay\/nrCountry: France 🇫🇷\/nrRelease: 1992\/nr\/nrI have no words to describe this 90's House/Techno beauty, so I'll just put what's written on the back of the sleeve:\/nr"Piche DJ: Nom vulgaire de pichulus doujis doujis.\/nrGenre d'insecte hémipèdre propre aux pays chauds méditerranéens; l'abdomen du mâle porte à la base une sorte de double tambour qui produit des bruits stridents et répétés. C'est un insecte nocturne, remarquable par la facilité avec laquelle il imite la voix humaine. (Ex: un Piche de DJ peut en cacher un autre)."\/nrFor those who don't understand french it's talking about an insect that lives in the night and that have a drum instead of a belly, and that imitates human voices easily.\/nrSo cheers to those Piche DJ insects and hope you enjoy the ride !\/nr\/nrThanks and congrats to everyone involved in the making of this tune.\/nr\/nrhttps://www.discogs.com/fr/release/2664640-Zwap-Piche-Dj-Special-Remix\/nr\/nrTrack uploaded for promotion only, low quality upload (mp3 128), please contact me if you want the track removed. \/nr\/nrContact IG: @jozmusic";"https://i.ytimg.com/vi/QHJmaGACzow/sddefault.jpg";"Jozuplodz";"UUtmkggMhXf1y4k5dzIsiYRA";"1";"QHJmaGACzow";"Jozuplodz";"UCtmkggMhXf1y4k5dzIsiYRA"
"youtube#playlistItem";"NtvQGS2rxymrYKRvmrQAj9RzaEw";"VVV0bWtnZ01oWGYxeTRrNWR6SXNpWVJBLmhQbnVUTTV1QURn";"2026-03-18T21:20:40Z";"UCtmkggMhXf1y4k5dzIsiYRA";"Funky Junction & Mowree – After Dark (Sanctuary's Mix)";"Label: Empire State Records\/nrCountry: US 🇺🇸\/nrRelease: 2003\/nr\/nrLet's call this HFFH: Heavy Funky Filtered House \/nrI love how the bassline is processed, so subtle it's even hard to distinguish but yet it brings some amazing groove to the party ! \/nrI also like the build-up, and that filtered snare !\/nrGreat great loopy tool to bring in some energy !\/nrHope you enjoy the ride ! \/nrThanks and congrats to everyone involved in the making of this tune.\/nr\/nrhttps://www.discogs.com/fr/release/231431-Funky-Junction-Mowree-After-Dark\/nr\/nrTrack uploaded for promotion only, low quality upload (mp3 128), please contact me if you want the track removed. \/nr\/nrContact IG: @jozmusic";"https://i.ytimg.com/vi/hPnuTM5uADg/sddefault.jpg";"Jozuplodz";"UUtmkggMhXf1y4k5dzIsiYRA";"2";"hPnuTM5uADg";"Jozuplodz";"UCtmkggMhXf1y4k5dzIsiYRA"
"youtube#video";"mnB0qXPQULxjopvBHkxomPZ4hKM";"VVV0bWtnZ01oWGYxeTRrNWR6SXNpWVJBLlJ5UVdsNGEwelc0";"2026-03-15T11:08:37Z";"UCtmkggMhXf1y4k5dzIsiYRA";"Soul Creatures Featuring Gill Hicks – Mystery To You (Creative Broken Dub)";"Label: Touchdown Recordings\/nrCountry: UK 🇬🇧\/nrRelease: 2000\/nr\/nrYou heard the B side before and there goes the A side for some very good broken dubby deep house ! Bassline is rocking !\/nrSeems like mastering's a bit stifled though and the rip's not helping.\/nrHope you enjoy the ride ! \/nrThanks and congrats to everyone involved in the making of this tune.\/nr\/nrhttps://www.discogs.com/fr/release/2034736-Soul-Creatures-Featuring-Gill-Hicks-Mystery-To-You\/nr\/nrTrack uploaded for promotion only, low quality upload (mp3 128), please contact me if you want the track removed. \/nr\/nrContact IG: @jozmusic";"https://i.ytimg.com/vi/RyQWl4a0zW4/sddefault.jpg";"Jozuplodz";"UUtmkggMhXf1y4k5dzIsiYRA";"3";"RyQWl4a0zW4";"Jozuplodz";"UCtmkggMhXf1y4k5dzIsiYRA"
"youtube#playlistItem";"zcq3MvfPlwD-oyZatZFG-Enw3pU";"VVV0bWtnZ01oWGYxeTRrNWR6SXNpWVJBLlA4X1NCOW9vbjF3";"2026-03-11T11:26:53Z";"UCtmkggMhXf1y4k5dzIsiYRA";"Culture Beat Featuring Jo Van Nelsen – Cherry Lips (Magic Vocal Mix -- English)";"Label: Epic\/nrCountry: US 🇺🇸\/nrRelease: 1989\/nr\/nrI know this one's a classic and I do prefer the German version but this English Extended version was not on Youtube so I thought it deserved an upload.\/nrCrazy Music.\/nrHope you enjoy the ride ! \/nrThanks and congrats to everyone involved in the making of this tune.\/nr\/nrhttps://www.discogs.com/fr/release/235857-Culture-Beat-Featuring-Jo-Van-Nelsen-Cherry-Lips\/nr\/nrTrack uploaded for promotion only, low quality upload (mp3 128), please contact me if you want the track removed. \/nr\/nrContact IG: @jozmusic_";"https://i.ytimg.com/vi/P8_SB9oon1w/sddefault.jpg";"Jozuplodz";"UUtmkggMhXf1y4k5dzIsiYRA";"4";"P8_SB9oon1w";"Jozuplodz";"UCtmkggMhXf1y4k5dzIsiYRA"
"youtube#video";"zhr1q78jGWGC3nAZ85E3uOpfbEE";"VVV0bWtnZ01oWGYxeTRrNWR6SXNpWVJBLkJEVUYwa0ZSMHZF";"2026-03-08T11:54:01Z";"UCtmkggMhXf1y4k5dzIsiYRA";"Diva Surprise Feat Georgia Jones – But, I Still Love You (WT Dub Mix)";"Label: Scorpio Music\/nrCountry: France 🇫🇷\/nrRelease: 1999\/nr\/nrEmotions and Sweetness, I still love you !\/nrThis one features in a podcast I registered for Beau Mot Plage that was released exactly one year ago ! https://soundcloud.com/beaumotplage/podcast-beau-mot-plage-704-joz\/nr\/nrHope you enjoy the ride ! \/nrThanks and congrats to everyone involved in the making of this tune.\/nr\/nrhttps://www.discogs.com/fr/release/2666610-Diva-Surprise-Feat-Georgia-Jones-But-I-Still-Love-You\/nr\/nrTrack uploaded for promotion only, low quality upload (mp3 128), please contact me if you want the track removed. \/nr\/nrContact IG: @jozmusic_";"https://i.ytimg.com/vi/BDUF0kFR0vE/sddefault.jpg";"Jozuplodz";"UUtmkggMhXf1y4k5dzIsiYRA";"5";"BDUF0kFR0vE";"Jozuplodz";"UCtmkggMhXf1y4k5dzIsiYRA"
"youtube#playlistItem";"q9nnFXQx7kAQuk4wDNZcDF6gQQU";"VVV0bWtnZ01oWGYxeTRrNWR6SXNpWVJBLmljYkQ0bENNR3R3";"2026-03-05T18:33:56Z";"UCtmkggMhXf1y4k5dzIsiYRA";"Ness – Jam Box (Album Version)";"Label: Universal Licensing Music (ULM)\/nrCountry: France 🇫🇷\/nrRelease: 2000\/nr\/nrI was nowhere near imagining the music hidden behind this funny Cover.\/nrI like to try and figuring out the music just looking at covers, but here I was totally stuck. \/nrYou can imagine my feeling while discovering this was some crazy underground funky french touch.\/nrHope you enjoy the ride ! \/nrThanks and congrats to everyone involved in the making of this tune.\/nr\/nrhttps://www.discogs.com/fr/release/2074195-Ness-Jam-Box\/nr\/nrTrack uploaded for promotion only, low quality upload (mp3 128), please contact me if you want the track removed. \/nr\/nrContact IG: @jozmusic_";"https://i.ytimg.com/vi/icbD4lCMGtw/sddefault.jpg";"Jozuplodz";"UUtmkggMhXf1y4k5dzIsiYRA";"6";"icbD4lCMGtw";"Jozuplodz";"UCtmkggMhXf1y4k5dzIsiYRA"
"youtube#video";"zKMibZoIY79E33GPYFu5Md5zP-U";"VVV0bWtnZ01oWGYxeTRrNWR6SXNpWVJBLi1teXlCamhkTEQw";"2026-03-02T16:23:30Z";"UCtmkggMhXf1y4k5dzIsiYRA";"Soul Creatures Featuring Gill Hicks – Mystery To You (Classic Disco Instrumental)";"Label: Touchdown Recordings\/nrCountry: UK 🇬🇧\/nrRelease: 2000\/nr\/nrEmotional Deep House ☀️\/nrDon't know if it's my vinyl/rip quality but I sense a bit of a lo-fi vibe here.\/nrBut I can tell you this is not classic disco 🤪\/nrHope you enjoy the ride ! \/nrThanks and congrats to everyone involved in the making of this tune.\/nr\/nrhttps://www.discogs.com/fr/release/2034736-Soul-Creatures-Featuring-Gill-Hicks-Mystery-To-You\/nr\/nrTrack uploaded for promotion only, low quality upload (mp3 128), please contact me if you want the track removed. \/nr\/nrContact IG: @jozmusic_";"https://i.ytimg.com/vi/-myyBjhdLD0/sddefault.jpg";"Jozuplodz";"UUtmkggMhXf1y4k5dzIsiYRA";"7";"-myyBjhdLD0";"Jozuplodz";"UCtmkggMhXf1y4k5dzIsiYRA"
"youtube#playlistItem";"_RpOqnt6Fr4RhF0aUsZ8zpU8hYE";"VVV0bWtnZ01oWGYxeTRrNWR6SXNpWVJBLjVsTktTaDBhSmJN";"2026-02-26T16:01:24Z";"UCtmkggMhXf1y4k5dzIsiYRA";"Kira – Hot Child In The City (House Mix)";"Label: Relentless Recordings \/nrCountry: US 🇺🇸\/nrRelease: 1990\/nr\/nrThe original House Music, from US 1990.\/nr\/nrHope you enjoy the ride ! \/nrThanks and congrats to everyone involved in the making of this tune.\/nr\/nrhttps://www.discogs.com/fr/release/2488086-Kira-Hot-Child-In-The-City\/nr\/nrTrack uploaded for promotion only, low quality upload (mp3 128), please contact me if you want the track removed. \/nr\/nrContact IG: @jozmusic_";"https://i.ytimg.com/vi/5lNKSh0aJbM/sddefault.jpg";"Jozuplodz";"UUtmkggMhXf1y4k5dzIsiYRA";"8";"5lNKSh0aJbM";"Jozuplodz";"UCtmkggMhXf1y4k5dzIsiYRA"
"youtube#video";"d_12qk56c6WoxP849b_35l-fVJs";"VVV0bWtnZ01oWGYxeTRrNWR6SXNpWVJBLlAtZjk5VXByckM4";"2026-02-23T15:15:37Z";"UCtmkggMhXf1y4k5dzIsiYRA";"Outreach – Can't Stop Loving (Mutagen Remix)";"Label: Respect! Records\/nrCountry: Germany 🇩🇪\/nrRelease: 1997\/nr\/nrEarly Dub Tech House. \/nrI really like the early tech house vibe; the boundary of the genre was not really defined yet and you can really here the House & the Techno influences. \/nrOn this one we cleary hear that Techno influence; and add to that that Dub imprint and you got your groover.\/nrJust a bit sad about that shorten rim shot/hat that sound a bit of sometimes.\/nrI also like the A1 there and will surely upload it later.\/nrKeen to know more about Mutagen, Outreach and this Respect! Records.\/nrHope you enjoy the ride ! \/nrThanks and congrats to everyone involved in the making of this tune.\/nr\/nrhttps://www.discogs.com/fr/release/721893-Outreach-Cant-Stop-Loving\/nr\/nrTrack uploaded for promotion only, low quality upload (mp3 128), please contact me if you want the track removed. \/nr\/nrContact IG: @jozmusic_";"https://i.ytimg.com/vi/P-f99UprrC8/sddefault.jpg";"Jozuplodz";"UUtmkggMhXf1y4k5dzIsiYRA";"9";"P-f99UprrC8";"Jozuplodz";"UCtmkggMhXf1y4k5dzIsiYRA"
