"Z_tech_index", "country", "year", "format", "label", "type", "genre", "style", "id", "barcode", "master_id", "master_url", "uri", "catno", "title", "thumb", "cover_image", "resource_url", "community", "format_quantity", "formats"
"1","Germany","2001","['Vinyl', '12']","['Real Groove']","release","['Electronic']","['House']","722726","[]","302042","https://api.discogs.com/masters/302042","/release/722726-Alex-Palmer-5-Feat-Mass-My-Love-Is-For-You","RG 12022","Alex Palmer (5) Feat. Mass (6) - My Love Is For You","","","https://api.discogs.com/releases/722726","{'want': 14, 'have': 93}","1","[{'name': 'Vinyl', 'qty': '1', 'descriptions': ['12']}]"
"2","France","2001","['Vinyl', '12']","['M6 Interactions']","release","['Electronic']","['House']","2655248","[]","302042","https://api.discogs.com/masters/302042","/release/2655248-Alex-Palmer-5-Feat-Mass-My-Love-Is-For-You","M6I1720.6","Alex Palmer (5) Feat Mass (6) - My Love Is For You","","","https://api.discogs.com/releases/2655248","{'want': 8, 'have': 22}","1","[{'name': 'Vinyl', 'qty': '1', 'descriptions': ['12']}]"
"3","France","2001","['CD', 'Maxi-Single', 'Promo']","['Blue Nuit', 'Blue Nuit', 'M6 Interactions', 'Pense À Moi', 'Warner/Chappell', 'www.djcenter.com', 'M6 Interactions', 'MPO']","release","['Electronic']","['House']","11438965","['www.djcenter.com', 'SACEM SACD SDRM SGDL', 'IFPI L033', 'IFPI 1211', '[MPO] M6 I 17201P @@@ 01']","302042","https://api.discogs.com/masters/302042","/release/11438965-Alex-Palmer-5-Feat-Mass-My-Love-Is-For-You","M6I1720.1-P","Alex Palmer (5) Feat. Mass (6) - My Love Is For You","","","https://api.discogs.com/releases/11438965","{'want': 4, 'have': 3}","1","[{'name': 'CD', 'qty': '1', 'text': 'Cardsleeve', 'descriptions': ['Maxi-Single', 'Promo']}]"
"4","US","2002","['Vinyl', '12', '33 ⅓ RPM', '45 RPM']","['Diaspora Recordings', 'Diaspora Recordings', 'Diaspora Communications', 'Diaspora Communications', 'Discograph', 'Groovepusher Music', 'BOC Productions', 'Phonicfood Productions', 'MPO', 'The Hub', 'Future Disc']","release","['Electronic']","['House', 'Deep House']","100654","['3700077629100', 'DIA-010-A Future Disc MPO', 'DIA-010-B MPO']","321201","https://api.discogs.com/masters/321201","/Alma-Horton-Lies/release/100654","DIA010","Alma Horton - Lies","","","https://api.discogs.com/releases/100654","{'want': 78, 'have': 194}","1","[{'name': 'Vinyl', 'qty': '1', 'descriptions': ['12', '33 ⅓ RPM', '45 RPM']}]"
"5","US","2002","['Vinyl', '12', 'Promo', 'White Label', '45 RPM', '33 ⅓ RPM']","['Diaspora Recordings']","release","['Electronic']","['House', 'Deep House']","2405958","[]","321201","https://api.discogs.com/masters/321201","/Alma-Horton-Lies/release/2405958","DIA-010","Alma Horton - Lies","","","https://api.discogs.com/releases/2405958","{'want': 24, 'have': 23}","1","[{'name': 'Vinyl', 'qty': '1', 'descriptions': ['12', 'Promo', 'White Label', '45 RPM', '33 ⅓ RPM']}]"
"6","UK","2003","['Vinyl', '12', '45 RPM', 'Promo']","['19 Recordings', 'RCA', 'BMG UK & Ireland', 'BMG Music Publishing Ltd.', 'The Aquarium', 'BMG UK & Ireland Ltd.', 'BMG UK & Ireland Ltd.', 'BMG', 'Portal Space']","release","['Electronic']","['Progressive House', 'House']","519219","['LC00316', 'ALTRIX 12 A-1-1 Shane!', 'ALTRIX 12 B-1-1 SMC']","33661","https://api.discogs.com/masters/33661","/release/519219-Annie-Lennox-Pavement-Cracks","ALTRIX 12","Annie Lennox - Pavement Cracks","","","https://api.discogs.com/releases/519219","{'want': 46, 'have': 144}","1","[{'name': 'Vinyl', 'qty': '1', 'descriptions': ['12', '45 RPM', 'Promo']}]"
"7","US","2003","['CD', 'Maxi-Single']","['J Records', '19 Recordings', 'BMG UK & Ireland Ltd.', 'BMG UK & Ireland Ltd.', 'Lennox', 'Martin', 'BMG Music Publishing Ltd.', 'J Records', 'J Records', 'J Records', 'BMG', 'Sonopress USA', 'The Aquarium', 'Europadisk', 'Q Muse Limited', 'www.thescumfrog.com', 'Nettwerk Management', 'Ornadel Management', 'Shanghai Surprise']","release","['Electronic']","['Progressive House', 'House']","210703","['8 2876-55884-2 3', '828765588423', '++ C9277-01 82876558842 [Sonopress logo] ', 'IFPI L028', 'IFPI 1023']","33661","https://api.discogs.com/masters/33661","/release/210703-Annie-Lennox-Pavement-Cracks-The-Remixes","82876-55884-2","Annie Lennox - Pavement Cracks (The Remixes)","","","https://api.discogs.com/releases/210703","{'want': 65, 'have': 341}","1","[{'name': 'CD', 'qty': '1', 'descriptions': ['Maxi-Single']}]"
"8","US","2003","['Vinyl', '12', '33 ⅓ RPM', 'Promo']","['J Records', 'BMG UK & Ireland Ltd.', 'BMG UK & Ireland Ltd.', 'Europadisk', 'Europadisk']","release","['Electronic']","['Progressive House', 'Progressive Trance', 'Synth-pop']","312484","['J1PV-51445-1-SA EUROPADISK DMM NJ USA 71088 DON GROSSINGER', 'J1PV-54115-1-SB EUROPADISK DMM NJ USA 71088 DON GROSSINGER', 'J1PV-54115-1-SC-RE EUROPADISK DMM NJ USA 71089 DON GROSSINGER', 'J1PV-54115-1-SD-RE EUROPADISK DMM NJ USA 71089 DON GROSSINGER']","33661","https://api.discogs.com/masters/33661","/release/312484-Annie-Lennox-Pavement-Cracks","J1PV-54115-1","Annie Lennox - Pavement Cracks","","","https://api.discogs.com/releases/312484","{'want': 81, 'have': 174}","2","[{'name': 'Vinyl', 'qty': '2', 'descriptions': ['12', '33 ⅓ RPM', 'Promo']}]"
"9","UK","2003","['Vinyl', '12', 'Promo', 'White Label']","['BMG']","release","['Electronic']","['Progressive House', 'House']","7237890","[]","33661","https://api.discogs.com/masters/33661","/release/7237890-Annie-Lennox-Pavement-Cracks","ALTRIX 12","Annie Lennox - Pavement Cracks","","","https://api.discogs.com/releases/7237890","{'want': 22, 'have': 18}","1","[{'name': 'Vinyl', 'qty': '1', 'descriptions': ['12', 'Promo', 'White Label']}]"
"10","US","2003","['CDr', 'Promo']","['J Records']","release","['Electronic']","['Progressive House', 'House']","1447534","[]","33661","https://api.discogs.com/masters/33661","/release/1447534-Annie-Lennox-Pavement-Cracks-Remixes","none","Annie Lennox - Pavement Cracks (Remixes)","","","https://api.discogs.com/releases/1447534","{'want': 28, 'have': 9}","1","[{'name': 'CDr', 'qty': '1', 'descriptions': ['Promo']}]"
