id_main,name,anv,join,role,tracks,id,resource_url,thumbnail_url
100030,2 Tunes In A Bag,,,,,80893,https://api.discogs.com/artists/80893,
100036,Phunky Torso,,,,,80932,https://api.discogs.com/artists/80932,https://i.discogs.com/J0dhDk9ljz8zrqDNM5AYLJmbvuzCKhefrDbrazR4BwU/rs:fit/g:sm/q:90/h:226/w:170/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTgwOTMy/LTEyMjM1NTQ3NDUu/anBlZw.jpeg
100050,Disscode,,,,,63146,https://api.discogs.com/artists/63146,
10028704,Joe Cocker,,,,,124497,https://api.discogs.com/artists/124497,https://i.discogs.com/Hgo8e_dvSeRBKEl4DXYpUOCA8kBZqQ9iLevKVUcGhcg/rs:fit/g:sm/q:90/h:600/w:496/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTEyNDQ5/Ny0xNzY3MjE4MTA4/LTgxMjcuanBlZw.jpeg
10028974,Various,,,,,194,https://api.discogs.com/artists/194,
10039902,Various,,,,,194,https://api.discogs.com/artists/194,
10045492,The Originals,,,,,15877,https://api.discogs.com/artists/15877,https://i.discogs.com/h1IRjs_txG-GnqmFDEIHZcqKehtVASY3niJrXh8vBHI/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTE1ODc3/LTE2MTcyODQ5MjEt/NzE1Mi5qcGVn.jpeg
10055810,Various,,,,,194,https://api.discogs.com/artists/194,
100654,Alma Horton,,,,,21361,https://api.discogs.com/artists/21361,https://i.discogs.com/E7SF6apSNvsKa_bjoBz7U731Ru6XwjFPH_BNVKgX9Rg/rs:fit/g:sm/q:90/h:600/w:384/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTIxMzYx/LTE2ODI0MzQwOTgt/NTg2Ny5wbmc.jpeg
10066421,HOME (18),,,,,4261543,https://api.discogs.com/artists/4261543,https://i.discogs.com/WKK20PCXAFqWepzfwRyV1VOdYDQ7y5PXb0ngiCm_LDU/rs:fit/g:sm/q:90/h:500/w:500/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9BLTQyNjE1/NDMtMTQ2MzE1MjEz/Mi01MzIyLmpwZWc.jpeg
