id_main,have,want,data_quality,status
100030,103,151,Needs Vote,Accepted
100036,80,748,Correct,Accepted
100050,79,106,Needs Vote,Accepted
10028704,70,26,Correct,Accepted
10028974,16,11,Needs Vote,Accepted
10039902,5,8,Correct,Accepted
10045492,179,112,Needs Vote,Accepted
10055810,102,31,Needs Vote,Accepted
100654,195,80,Needs Vote,Accepted
10066421,9,31,Needs Vote,Accepted
10082296,3,4,Needs Vote,Accepted
100833,157,469,Needs Vote,Accepted
10094904,25,60,Needs Vote,Accepted
10097790,111,44,Needs Vote,Accepted
1010154,628,39,Needs Vote,Accepted
101026,73,142,Correct,Accepted
10117670,58,91,Needs Vote,Accepted
101339,382,433,Correct,Accepted
1013755,73,452,Correct,Accepted
10144284,7,4,Needs Vote,Accepted
1014630,137,67,Needs Vote,Accepted
1017133,230,182,Needs Vote,Accepted
1019169,126,61,Needs Vote,Accepted
10212447,1,2,Needs Vote,Accepted
1021298,72,263,Correct,Accepted
10217861,4,13,Needs Vote,Accepted
102185,347,123,Correct,Accepted
102252,189,87,Needs Vote,Accepted
10233162,14,24,Needs Vote,Accepted
1026849,123,1183,Needs Vote,Accepted
10269061,23,6,Needs Vote,Accepted
102802,205,33,Needs Vote,Accepted
103032,73,285,Needs Vote,Accepted
10325934,8,3,Correct,Accepted
10327535,37,16,Needs Vote,Accepted
10332190,3,6,Needs Vote,Accepted
10343749,34,98,Needs Vote,Accepted
10357353,88,165,Needs Vote,Accepted
10365073,39,105,Needs Vote,Accepted
10369244,24,5,Needs Vote,Accepted
10396063,1,18,Needs Vote,Accepted
10396452,95,464,Correct,Accepted
1040908,394,78,Needs Vote,Accepted
10414894,152,128,Needs Vote,Accepted
1042422,3,13,Correct,Accepted
1043582,76,36,Correct,Accepted
1044111,79,23,Needs Vote,Accepted
10444779,65,43,Needs Vote,Accepted
10444835,50,6,Needs Vote,Accepted
10460477,5,19,Needs Vote,Accepted
