id_main,name,catno,entity_type,entity_type_name,id,resource_url,thumbnail_url
100030,GB Records,,13,Phonographic Copyright (p),7386,https://api.discogs.com/labels/7386,https://i.discogs.com/ARhf-qgnPW7NWKvHdNSSmjFlUWC05b_74DohrZESEqQ/rs:fit/g:sm/q:90/h:260/w:499/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9MLTczODYt/MTQ4ODU3ODg1OC0y/MzYxLmpwZWc.jpeg
100030,GB Records,,14,Copyright (c),7386,https://api.discogs.com/labels/7386,https://i.discogs.com/ARhf-qgnPW7NWKvHdNSSmjFlUWC05b_74DohrZESEqQ/rs:fit/g:sm/q:90/h:260/w:499/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9MLTczODYt/MTQ4ODU3ODg1OC0y/MzYxLmpwZWc.jpeg
100030,Hautboy Music,,21,Published By,266600,https://api.discogs.com/labels/266600,https://i.discogs.com/3tDXmVvSBsR4wF4byd_tLytXtCiYM_6RiKzS03J1rLY/rs:fit/g:sm/q:90/h:156/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9MLTI2NjYw/MC0xNTM2ODMzNDU1/LTM1MTMuanBlZw.jpeg
100036,Finiflex,,27,Mixed At,4259,https://api.discogs.com/labels/4259,https://i.discogs.com/ENQ03_kUPeiZHrYIwATitPebng-Z0MC8OOHq1Z87U04/rs:fit/g:sm/q:90/h:198/w:200/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9MLTQyNTkt/MTE3NjY2MDYxNS5q/cGVn.jpeg
100050,Wizz Records,,13,Phonographic Copyright (p),9821,https://api.discogs.com/labels/9821,https://i.discogs.com/hPpTPmPbYPalZAdpH97UJWHhvrQOJ2MPVxifPJ61Vs0/rs:fit/g:sm/q:90/h:407/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9MLTk4MjEt/MTU3NDA4OTUzMi02/MzMxLmpwZWc.jpeg
100050,Wizz Records,,14,Copyright (c),9821,https://api.discogs.com/labels/9821,https://i.discogs.com/hPpTPmPbYPalZAdpH97UJWHhvrQOJ2MPVxifPJ61Vs0/rs:fit/g:sm/q:90/h:407/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9MLTk4MjEt/MTU3NDA4OTUzMi02/MzMxLmpwZWc.jpeg
100050,Hautboy Music,,21,Published By,266600,https://api.discogs.com/labels/266600,https://i.discogs.com/3tDXmVvSBsR4wF4byd_tLytXtCiYM_6RiKzS03J1rLY/rs:fit/g:sm/q:90/h:156/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9MLTI2NjYw/MC0xNTM2ODMzNDU1/LTM1MTMuanBlZw.jpeg
100050,JTS Studios,,30,Lacquer Cut At,266169,https://api.discogs.com/labels/266169,https://i.discogs.com/sGCFNRSLp4OEp2rMJHlIc6g4KWZUhzPoDwRgM9_BJao/rs:fit/g:sm/q:90/h:151/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9MLTI2NjE2/OS0xMzU5MDY2NTY5/LTM1MTAuanBlZw.jpeg
10028704,WEA Musik GmbH,,16,Made By,43012,https://api.discogs.com/labels/43012,https://i.discogs.com/Fi2FACGxbXibqoI31XwTeh63-1wgyVxZcUv-UwuYbZ0/rs:fit/g:sm/q:90/h:172/w:295/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9MLTQzMDEy/LTE2Mzg1NzMwMjQt/MzEzNC5qcGVn.jpeg
10028704,Elektra/Asylum/Nonesuch Records,,10,Manufactured By,264155,https://api.discogs.com/labels/264155,https://i.discogs.com/tieeAYxTCCKNjs5lg-BQ70TfP8UpNnBzc_svJUCmA6I/rs:fit/g:sm/q:90/h:90/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9MLTI2NDE1/NS0xNzE0Mjk1ODY4/LTg3MDguanBlZw.jpeg
