Z_tech_index,country,year,format,label,type,genre,style,id,barcode,master_id,master_url,uri,catno,title,thumb,cover_image,resource_url,community,format_quantity,formats,etag
1,UK,2003,"[""Vinyl"", ""12\"""", ""45 RPM""]","[""Big Bear""]",release,"[""Electronic""]","[""Dub"", ""Deep House"", ""Disco""]",52152,[],0,,/BJ-Duck-Big-Black-Wax/release/52152,BB009,BJ Duck - Big Black Wax,,,https://api.discogs.com/releases/52152,"{""want"": 102, ""have"": 164}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""45 RPM""]}]",IimnEIbFlb4HvFQVxl3Qvaa0KPM
2,France,1992,"[""Vinyl"", ""12\""""]","[""Barclay""]",release,"[""Electronic""]","[""Synth-pop""]",2664640,[],558421,https://api.discogs.com/masters/558421,/Zwap-Piche-Dj-Special-Remix/release/2664640,2266,Zwap - Piche Dj (Special Remix),,,https://api.discogs.com/releases/2664640,"{""want"": 7, ""have"": 12}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\""""]}]",h8a7eoB2l2tvZyAZFC9t2BQScCs
3,US,2003,"[""Vinyl"", ""12\"""", ""33 ⅓ RPM""]","[""Empire State Records"", ""Empire State Records"", ""Eightballshop.com"", ""V.O.T.U. Records (Voice Of The Underground Records)""]",release,"[""Electronic""]","[""Progressive House"", ""Progressive Trance""]",231431,"[""(ASCAP)""]",0,,/Funky-Junction-Mowree-After-Dark/release/231431,ES 080,Funky Junction & Mowree - After Dark,,,https://api.discogs.com/releases/231431,"{""want"": 24, ""have"": 63}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""33 ⅓ RPM""]}]",NtvQGS2rxymrYKRvmrQAj9RzaEw
4,UK,2000,"[""Vinyl"", ""12\"""", ""33 ⅓ RPM""]","[""Touchdown Recordings"", ""Touchdown Recordings Ltd."", ""Touchdown Recordings Ltd."", ""Abbey Road Studios""]",release,"[""Electronic""]","[""House""]",2034736,"[""5024545131260"", ""tdr017-a"", ""tdr017-b"", ""TDR 017 A-1-1-1"", ""TDR 017 AA-1-1-1"", ""Copyright Control""]",0,,/Soul-Creatures-Featuring-Gill-Hicks-Mystery-To-You/release/2034736,tdr017,Soul Creatures* Featuring Gill Hicks - Mystery To You,,,https://api.discogs.com/releases/2034736,"{""want"": 29, ""have"": 32}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""33 ⅓ RPM""]}]",mnB0qXPQULxjopvBHkxomPZ4hKM
5,US,1989,"[""Vinyl"", ""12\"""", ""33 ⅓ RPM""]","[""Epic"", ""Epic"", ""CBS Schallplatten GmbH"", ""CBS Schallplatten GmbH"", ""Epic Records"", ""CBS Music Inc.""]",release,"[""Electronic""]","[""House""]",235857,"[""098707317019"", ""0 9870 - 73170 - 1"", ""ASCAP"", ""XSS 73170A"", ""XSS 73170B"", ""XSS 73170A-1A G1 (A) VLADO"", ""XSS 73170B-1A G1 (A) VLADO""]",62414,https://api.discogs.com/masters/62414,/release/235857-Culture-Beat-Featuring-Jo-Van-Nelsen-Cherry-Lips,49 73170,Culture Beat Featuring Jo Van Nelsen - Cherry Lips,,,https://api.discogs.com/releases/235857,"{""want"": 324, ""have"": 348}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""33 ⅓ RPM""]}]",zcq3MvfPlwD-oyZatZFG-Enw3pU
6,US,1989,"[""CD"", ""Maxi-Single"", ""Promo""]","[""Epic"", ""Epic Records"", ""CBS Schallplatten GmbH"", ""CBS Schallplatten GmbH"", ""Digital Audio Disc Corp."", ""DADC"", ""CBS Music Publishing""]",release,"[""Electronic""]","[""House"", ""Euro House""]",523034,"[""DISP-000500 1"", ""Made in USA-Digital Audio Disc Corp. ['D®' logo]""]",62414,https://api.discogs.com/masters/62414,/release/523034-Culture-Beat-Featuring-Jo-Van-Nelsen-Cherry-Lips,ESK 1999,Culture Beat Featuring Jo Van Nelsen - Cherry Lips,,,https://api.discogs.com/releases/523034,"{""want"": 129, ""have"": 42}",1,"[{""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Maxi-Single"", ""Promo""]}]",zcq3MvfPlwD-oyZatZFG-Enw3pU
7,Australia,1990,"[""Vinyl"", ""12\"""", ""33 ⅓ RPM""]","[""Epic"", ""CBS Schallplatten GmbH""]",release,"[""Electronic""]","[""House"", ""Deep House""]",1786027,[],62414,https://api.discogs.com/masters/62414,/release/1786027-Culture-Beat-Featuring-Jo-Van-Nelsen-Cherry-Lips,655972 6,Culture Beat Featuring Jo Van Nelsen - Cherry Lips,,,https://api.discogs.com/releases/1786027,"{""want"": 111, ""have"": 27}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""33 ⅓ RPM""]}]",zcq3MvfPlwD-oyZatZFG-Enw3pU
8,Australia,1990,"[""Vinyl"", ""12\"""", ""Promo""]","[""CBS Records Australia Limited""]",release,"[""Electronic""]","[""House"", ""Deep House""]",1147808,[],62414,https://api.discogs.com/masters/62414,/release/1147808-Culture-Beat-Featuring-Jo-Van-Nelsen-Cherry-Lips,655972 6,Culture Beat Featuring Jo Van Nelsen - Cherry Lips,,,https://api.discogs.com/releases/1147808,"{""want"": 97, ""have"": 2}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""Promo""]}]",zcq3MvfPlwD-oyZatZFG-Enw3pU
9,Spain,1999,"[""Vinyl"", ""12\""""]","[""Le Club""]",release,"[""Electronic""]","[""Progressive House"", ""House"", ""Euro House""]",823423,[],266466,https://api.discogs.com/masters/266466,/release/823423-Diva-Surprise-Feat-Georgia-Jones-But-I-Still-Love-You,CLUB527,"Diva Surprise Feat. Georgia Jones - But, I Still Love You",,,https://api.discogs.com/releases/823423,"{""want"": 19, ""have"": 42}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\""""]}]",zhr1q78jGWGC3nAZ85E3uOpfbEE
10,France,1999,"[""Vinyl"", ""12\"""", ""33 ⅓ RPM""]","[""Scorpio Music"", ""Walter Taieb, Inc."", ""Walter Taieb, Inc.""]",release,"[""Electronic""]","[""House""]",2666610,[],266466,https://api.discogs.com/masters/266466,/release/2666610-Diva-Surprise-Feat-Georgia-Jones-But-I-Still-Love-You,192 607-1,"Diva Surprise Feat Georgia Jones - But, I Still Love You",,,https://api.discogs.com/releases/2666610,"{""want"": 4, ""have"": 33}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""33 ⅓ RPM""]}]",zhr1q78jGWGC3nAZ85E3uOpfbEE
11,France,2000,"[""Vinyl"", ""12\"""", ""45 RPM"", ""Maxi-Single""]","[""Universal Licensing Music (ULM)"", ""Universal Licensing Music (ULM)"", ""Universal Licensing Music (ULM)"", ""DFI"", ""Translab""]",release,"[""Electronic""]","[""House""]",2074195,"[""601215851311"", ""6 01215 85131 1"", ""LC 07340"", ""= 158513 1 CHAB-TR NESS DFI- 00 7 0000274-A"", ""= 158513 1 CHAB-TR NESS 000274-B DFI-007"", ""SACEM""]",0,,/release/2074195-Ness-Jam-Box,158 513-1,Ness (4) - Jam Box,,,https://api.discogs.com/releases/2074195,"{""want"": 3, ""have"": 10}",1,"[{""name"": ""Vinyl"", ""qty"": ""1"", ""descriptions"": [""12\"""", ""45 RPM"", ""Maxi-Single""]}]",q9nnFXQx7kAQuk4wDNZcDF6gQQU
12,Europe,1994,"[""CD"", ""Album"", ""Repress"", ""Stereo""]","[""Columbia"", ""Columbia"", ""Sony Music Entertainment Inc."", ""Sony Music Entertainment Inc."", ""Sony Music"", ""Gateway Mastering"", ""Sony Songs Inc."", ""Rye Songs"", ""Stone Jam Publishing"", ""Ness, Nitty & Capone, Inc."", ""Sony Music Publishing"", ""Wb Music Corp."", ""Irving Music, Inc."", ""Wallyworld Music"", ""EMI Virgin Music, Inc."", ""Red Instructional Music"", ""Robi-Rob Music"", ""ECAF Music"", ""Apple Publishing Ltd."", ""Right Track Recording"", ""The Plant Studios"", ""Record Plant, Los Angeles"", ""Axis Studios"", ""Electric Lady Studios"", ""House Of Sound"", ""Criteria Recording Studios"", ""Sony Music Studios, New York City"", ""Electric Lady Studios"", ""Sony Music"", ""DADC Austria""]",release,"[""Funk / Soul"", ""Pop""]","[""Contemporary R&B"", ""Ballad""]",439415,"[""5 099747 427022"", ""5099747427022"", ""LC 0162"", ""BIEM/SDRM"", ""CB 811"", ""CDC"", ""01-474270-10"", ""01-474270-10 83 B12 Sony Music"", ""01-474270-10 83 B10 Sony Music"", ""01-474270-10 94 A4 Sony Music"", ""01-474270-10 83 B1 Sony Music"", ""01-474270-10 63 B24 Sony Music"", ""01-474270-10 104 A4 Sony Music"", ""01-474270-10 94 A6 Sony Music"", ""01-474270-10 83 B3 Sony Music"", ""01-474270-10 94 A5 Sony Music"", ""01-474270-10 94 A2 Sony Music"", ""01-474270-10 104 A5 Sony Music"", ""01-474270-10 104 A6 Sony Music"", ""01-474270-10 83 A9 Sony Music"", ""01-474270-10 94 A7 Sony Music"", ""01-474270-10 94 A1 Sony Music"", ""01-474270-10 104 A8 Sony Music"", ""01-474270-10 83 B11 Sony Music"", ""01-474270-10 94 A3 Sony Music"", ""01-474270-10 113 A5 Sony Music"", ""01-474270-10 113 B7 Sony Music"", ""01-474270-10 83 B7 Sony Music"", ""01-474270-10 94 A12 Sony Music""]",79031,https://api.discogs.com/masters/79031,/release/439415-Mariah-Carey-Music-Box,COL 474270 2,Mariah Carey - Music Box,,,https://api.discogs.com/releases/439415,"{""want"": 84, ""have"": 3311}",1,"[{""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Album"", ""Repress"", ""Stereo""]}]",q9nnFXQx7kAQuk4wDNZcDF6gQQU
13,US,2010,"[""Box Set"", ""Deluxe Edition"", ""CD"", ""Album"", ""Remastered"", ""CD"", ""Compilation"", ""Remastered""]","[""Traffic Entertainment Group"", ""Elektra Entertainment Group"", ""Warner Music Group"", ""Elektra Entertainment Group"", ""Traffic Entertainment Group"", ""Rhino Entertainment Company"", ""Untouchables Entertainment"", ""Ness, Nitty & Capone Publishing"", ""Smooth Flowin Publishing"", ""Pete Rock Publishing"", ""Grand Puba Publishing"", ""Velle International"", ""Def Jam Publishing"", ""E - Z Duz-It Publishing"", ""Baby Pah Publishing"", ""Rob O Publishing"", ""Greene St. Recording"", ""The Hit Factory""]",release,"[""Hip Hop""]","[""Conscious""]",2455324,"[""8 29357 55152 8"", ""829357551528"", ""Z88461 | 45 TEG2 75515A-2 01"", ""ifpi L909"", ""IFPI 2U8J"", ""IFPI 2U8I"", ""Z88462 | 45 TEG2 75515B-2 01"", ""ifpi L909"", ""IFPI 2U8J"", ""IFPI 2U8I""]",39477,https://api.discogs.com/masters/39477,/release/2455324-Pete-Rock-CL-Smooth-Mecca-And-The-Soul-Brother,TEG-75515-2,Pete Rock & CL Smooth* - Mecca And The Soul Brother,,,https://api.discogs.com/releases/2455324,"{""want"": 348, ""have"": 483}",2,"[{""name"": ""Box Set"", ""qty"": ""1"", ""descriptions"": [""Deluxe Edition""]}, {""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Album"", ""Remastered""]}, {""name"": ""CD"", ""qty"": ""1"", ""descriptions"": [""Compilation"", ""Remastered""]}]",q9nnFXQx7kAQuk4wDNZcDF6gQQU
