id_main,name,anv,join,role,tracks,id,resource_url
100030,Gary Van Den Bussche,,,"Producer, Written-By",,451748,https://api.discogs.com/artists/451748
100036,Fred Parsons,F. Parsons,,Written-By,,1154359,https://api.discogs.com/artists/1154359
100050,Gary Van Den Bussche,,,"Written-By, Producer",,451748,https://api.discogs.com/artists/451748
10028704,Allen Toussaint,,,Arranged By [Horns],"A1, B3",136135,https://api.discogs.com/artists/136135
10028704,Harrison Calloway,Harrison Calloway Jr.,,Arranged By [Horns],"A2, A5, B1, B2, B5",384184,https://api.discogs.com/artists/384184
10028704,Ann Lang,,,Backing Vocals,,659109,https://api.discogs.com/artists/659109
10028704,Clydie King,,,Backing Vocals,,258111,https://api.discogs.com/artists/258111
10028704,Mona Lisa Young,,,Backing Vocals,,146994,https://api.discogs.com/artists/146994
10028704,Johnny Lee (4),,,Design,,1210478,https://api.discogs.com/artists/1210478
10028704,Alex Sadkin,,,Engineer,,30415,https://api.discogs.com/artists/30415
10028704,Bill Gazecki,,,Engineer,,752208,https://api.discogs.com/artists/752208
10028704,Gregg Hamm,,,Engineer,,420027,https://api.discogs.com/artists/420027
10028704,Jerry Masters,,,Engineer,,322425,https://api.discogs.com/artists/322425
10028704,Skip Godwin,,,Engineer,,410996,https://api.discogs.com/artists/410996
10028704,Steve Melton,,,Engineer,,322426,https://api.discogs.com/artists/322426
10028704,Bob Gore,,,Engineer [Assistant],,1646046,https://api.discogs.com/artists/1646046
10028704,David Yates,,,Engineer [Assistant],,583051,https://api.discogs.com/artists/583051
10028704,Roberta Grace,,,Engineer [Assistant],,396987,https://api.discogs.com/artists/396987
10028704,Sheila Taylor,,,Engineer [Assistant],,733423,https://api.discogs.com/artists/733423
10028704,Michael Lang,,,Executive-Producer,,283470,https://api.discogs.com/artists/283470
10028704,Terry Dunavan,,,Mastered By,,269186,https://api.discogs.com/artists/269186
10028704,Gary Heery,,,Photography By,,2235282,https://api.discogs.com/artists/2235282
10028704,Allen Toussaint,,,"Producer, Arranged By [Strings]",,136135,https://api.discogs.com/artists/136135
10028704,Barry Beckett,Barry E. Beckett,,"Producer, Mixed By","A2, A5, B1, B2, B5",255430,https://api.discogs.com/artists/255430
10045492,Arthur Wright,Art Wright,,Arranged By,"A3, B1, B3, B4",390636,https://api.discogs.com/artists/390636
10045492,David Blumberg,,,Arranged By,"A3, B1, B3",12281,https://api.discogs.com/artists/12281
10045492,David Shields,,,Bass,"A3, B1, B3, B4",319199,https://api.discogs.com/artists/319199
10045492,Wriston Jones,,,Design,,1841080,https://api.discogs.com/artists/1841080
10045492,Ed Greene (2),,,Drums,"A3, B1, B3, B4",508304,https://api.discogs.com/artists/508304
10045492,James Gadson,,,Drums,"A3, B1, B3, B4",211643,https://api.discogs.com/artists/211643
10045492,Jack Andrews,,,Engineer [Mastering],,391829,https://api.discogs.com/artists/391829
10045492,Art Stewart,,,Engineer [Mixing],"A3, B1, B3, B4",127383,https://api.discogs.com/artists/127383
10045492,Glen Jordan,Glenn Jordan,,Engineer [Recording],"A3, B1, B3, B4",386206,https://api.discogs.com/artists/386206
10045492,Michael Schuman,Mike Shumann,,Engineer [Recording],"A3, B1, B3, B4",468899,https://api.discogs.com/artists/468899
10045492,Carl Overr,,,Graphics [Director],,1843957,https://api.discogs.com/artists/1843957
10045492,David T. Walker,,,Guitar,"A3, B1, B3, B4",211633,https://api.discogs.com/artists/211633
10045492,Ray Parker Jr.,"Ray Parker, Jr.",,Guitar,"A3, B1, B3, B4",169574,https://api.discogs.com/artists/169574
10045492,John Barnes,,,Keyboards,"A3, B1, B3, B4",293896,https://api.discogs.com/artists/293896
10045492,Michael B. Sutton,Michael Sutton,,Keyboards,"A3, B1, B3, B4",391752,https://api.discogs.com/artists/391752
10045492,Sonny Burke (2),,,Keyboards,"A3, B1, B3, B4",735144,https://api.discogs.com/artists/735144
10045492,Sylvester Rivers,,,Keyboards,"A3, B1, B3, B4",377623,https://api.discogs.com/artists/377623
10045492,Jack Ashford,,,Percussion,"A3, B1, B3, B4",377626,https://api.discogs.com/artists/377626
10045492,Ollie Brown,Oliver Brown,,Percussion,"A3, B1, B3, B4",90951,https://api.discogs.com/artists/90951
10045492,Charles William Bush,Charles Bush,,Photography By,,2239201,https://api.discogs.com/artists/2239201
10045492,Michael B. Sutton,,,Producer,"A3, B1, B3, B4",391752,https://api.discogs.com/artists/391752
10045492,Brenda Sutton,Brenda J. Sutton,,Producer [Production Assistant],,319988,https://api.discogs.com/artists/319988
10045492,Vigon Nahas Vigon,,,Typography [Lettering],,1861394,https://api.discogs.com/artists/1861394
10055810,Re:Peat,,,Design,,1866938,https://api.discogs.com/artists/1866938
10055810,Equus (2),,,Mastered By,,540823,https://api.discogs.com/artists/540823
100654,Jeff Peacock,Jeffrey Peacock,,"A&R, Executive-Producer",,506563,https://api.discogs.com/artists/506563
100654,Sweet Abraham,,,Music By,,29,https://api.discogs.com/artists/29
100654,Sweet Abraham,,,Producer,,29,https://api.discogs.com/artists/29
100654,Alma Horton,,,Words By,,21361,https://api.discogs.com/artists/21361
10066421,JohnMoProductions,,,Artwork,,4261542,https://api.discogs.com/artists/4261542
100833,SST (8),,,Lacquer Cut By,,1584729,https://api.discogs.com/artists/1584729
100833,Harry Mariani,,,"Producer, Written By","B1, B2",47315,https://api.discogs.com/artists/47315
100833,Stefan Leu,,,"Producer, Written By","A, B1",576574,https://api.discogs.com/artists/576574
100833,Tobias Wirz,Tobi Wirz,,"Producer, Written By","A, B1",452435,https://api.discogs.com/artists/452435
