id_main,name,qty,descriptions,text
100030,Vinyl,1,"12""",
100036,Vinyl,1,"[""12\"""", ""33 ⅓ RPM""]",
100050,Vinyl,1,"[""12\"""", ""33 ⅓ RPM""]",Pink
10028704,Vinyl,1,"[""LP"", ""Album""]",
10028974,Cassette,1,"[""Compilation"", ""Mixtape""]",
10039902,CD,2,"[""Compilation"", ""Promo"", ""Sampler""]",
10045492,Vinyl,1,"[""LP"", ""Album"", ""Stereo""]",Monarch Pressing
10055810,CD,2,Compilation,
100654,Vinyl,1,"[""12\"""", ""33 ⅓ RPM"", ""45 RPM""]",
10066421,File,11,"[""ALAC"", ""Album""]",
10082296,Vinyl,1,"[""12\"""", ""33 ⅓ RPM"", ""45 RPM"", ""Promo"", ""White Label""]",
100833,Vinyl,1,"[""12\"""", ""33 ⅓ RPM""]",
10094904,CD,1,"[""Album""]",
10094904,CDr,1,"[""Limited Edition"", ""Mixed"", ""Promo""]",
10097790,CD,2,"[""Compilation"", ""Stereo""]",
1010154,Vinyl,1,"[""7\"""", ""45 RPM"", ""Single"", ""Stereo""]",
101026,Vinyl,1,"12""",
10117670,CD,1,"[""Album"", ""Reissue""]",DCA
101339,Vinyl,2,"[""LP"", ""Compilation""]",
1013755,Vinyl,1,"[""12\"""", ""Limited Edition"", ""33 ⅓ RPM""]",
10144284,CDr,1,Single,
1014630,CD,4,Compilation,
1017133,CD,25,"[""Compilation""]",
1017133,Box Set,1,"[""Limited Edition"", ""Numbered""]",
1019169,Vinyl,1,"12""",
10212447,File,1,"[""MP3"", ""Mixed""]",320 kbps
1021298,Vinyl,1,"[""12\"""", ""EP"", ""45 RPM"", ""33 ⅓ RPM""]",
10217861,Vinyl,1,"[""7\"""", ""33 ⅓ RPM"", ""EP"", ""Limited Edition""]",MARBLE GREEN Hand Colored Sleeve
102185,CD,2,"[""Compilation"", ""Partially Mixed"", ""Stereo""]",
102252,CD,2,Compilation,
10233162,File,8,"[""FLAC"", ""Album""]",
1026849,Vinyl,1,"[""LP"", ""Album""]",
10269061,Vinyl,1,"[""7\"""", ""45 RPM"", ""Single""]",
102802,CD,1,Mixed,
103032,Vinyl,2,"[""12\"""", ""33 ⅓ RPM"", ""EP""]",
10325934,CD,1,Compilation,
10327535,CD,2,Compilation,
10332190,File,41,"[""MP3"", ""Compilation""]",320 kbps
10332190,File,2,"[""MP3"", ""Compilation"", ""Mixed""]",320 kbps
10343749,Vinyl,2,"[""12\"""", ""33 ⅓ RPM""]",
10357353,Vinyl,1,"[""12\"""", ""33 ⅓ RPM""]",
10365073,Vinyl,1,"[""LP"", ""Album"", ""Reissue""]",
10369244,CD,1,"[""CD-ROM"", ""Compilation"", ""Limited Edition""]",
10396063,CD,1,Compilation,
10396452,Vinyl,1,"[""12\"""", ""EP""]",
1040908,CD,1,Album,
10414894,Vinyl,1,"[""LP"", ""Album"", ""Promo""]",
1042422,CDr,1,Limited Edition,
1043582,CD,2,Mixed,
1044111,Vinyl,1,"12""",
10444779,CD,1,Mixed,
10444835,CD,1,"[""Compilation"", ""Club Edition"", ""Remastered""]",
10460477,Vinyl,1,"[""12\"""", ""33 ⅓ RPM"", ""Promo"", ""White Label""]",
