id_main,type,value,description
100050,Barcode,5 024200 002065,Text
100050,Barcode,5024200002065,Scanned
100050,Matrix / Runout,WIZZ 20 A -J.T.S.-,Side A runout
100050,Matrix / Runout,WIZZ 20 - B -J.T.S.-,Side AA runout
10028704,Matrix / Runout,6E-145-A SP,Side A Label
10028704,Matrix / Runout,6E145 A-1 SP I-I TD 7-31-78,Side A Etched
10028704,Matrix / Runout,6E-145-B SP,Side B Label
10028704,Matrix / Runout,6E145 B-1 SP I-I TD 731-78,Side B Etched
10028704,Label Code,LC 2648,circled on sleeve
10028704,Price Code,Z,
10045492,Pressing Plant ID,(MR),"Stamped ""MR"" in circle in run-outs"
10045492,Matrix / Runout,2677-S,Side A label
10045492,Matrix / Runout,2678-S,Side B label
10045492,Matrix / Runout,S6-749S1-2677-S-06B MR # 13 ◁ 21930,"Side A runout, etched, exc. (MR) stamped, variant 1"
10045492,Matrix / Runout,S6-749S1-2678-S-06A MR ◁ 21930-X,"Side B runout, etched, exc. (MR) stamped, variant 1"
10045492,Matrix / Runout,S6-749S1-2677-S-06B MR #13 ◁ 21930 BG,"Side A runout, etched, exc. (MR) stamped, variant 2"
10045492,Matrix / Runout,S6-749S1-2678-S-06A MR #13 ◁ 21930-X BG,"Side B runout, etched, exc. (MR) stamped, variant 2"
10055810,Barcode,5414165083894,Scanned
10055810,Barcode,5 414165 083894,Text
10055810,Matrix / Runout,1720578-1 541638CD CD1,
10055810,Matrix / Runout,1720578-2 541638CD CD2,
10055810,Rights Society,SABAM,
10055810,Other,N01.A638.023,
100654,Barcode,3700077629100,Etched in Run-out side A
100654,Matrix / Runout,DIA-010-A Future Disc MPO,Etched in Run-out side B
100654,Matrix / Runout,DIA-010-B MPO,
100833,Matrix / Runout,SOG 004 A SST 33 uPM,Side A
100833,Matrix / Runout,SOG 004 B2 SST 33 uPM,Side B
10094904,Barcode,5 053760 027683,CD
10094904,Matrix / Runout,www.handlewithcare.de STS293CD AH65421-01,"CDr, mirrored"
10094904,Matrix / Runout,RFD80M-79239 80 8N,
10097790,Barcode,0602557441949,Scanned
10097790,Barcode,0 602557 441949,Text
10097790,Rights Society,BIEM/SDRM,Cat# CD1
10097790,Other,574 419-5,Cat# CD2
10097790,Other,574 419-6,CD1
10097790,Matrix / Runout,Sony DADC [Universal Logo] 5744195 11 A00,CD1
10097790,Mastering SID Code,IFPI L551,CD1
10097790,Mould SID Code,IFPI 94K4,CD2
10097790,Matrix / Runout,Sony DADC [Universal Logo] 5744196 25,CD2
10097790,Mastering SID Code,IFPI L555,CD2
10097790,Mould SID Code,IFPI 946P,
1010154,Rights Society,STEMRA,Label side A
1010154,Matrix / Runout,WB15.005 A,Label side B
1010154,Matrix / Runout,WB15.005 B,Runout side A stamped
1010154,Matrix / Runout,WB15005 A 4C1,Runout side B stamped
1010154,Matrix / Runout,WB15005 B 4C1,
10117670,Barcode,7 30182 20672 2,Text
10117670,Barcode,730182206722,Scanned
10117670,Matrix / Runout,C2 128895-01 ATLANTIS ❊❊❊1/1DCA0551❊,Variant 1 to 3
10117670,Mastering SID Code,IFPI L892,Variant 1 to 3
10117670,Mould SID Code,IFPI F700,Variant 1
10117670,Mould SID Code,IFPI F703,Variant 2
10117670,Mould SID Code,none,Variant 3
101339,Barcode,5 022765 552100 >,
1014630,Barcode,0 90204 68528 8,Text
1014630,Barcode,090204685288,Scanned
1014630,Label Code,LC 12793,CD1
1014630,Rights Society,BIEM/GEMA,CD2
1014630,Matrix / Runout,BONCOMP 05-2/1 ZYX Music #1,CD3
1014630,Matrix / Runout,BONCOMP 05-2/2 ZYX Music #1,CD4
1014630,Matrix / Runout,BONCOMP 05-2/3 ZYX Music #1,Track 1-01
1014630,Matrix / Runout,BONCOMP 05-2/4 ZYX Music #1,Track 1-02
1014630,Mastering SID Code,IFPI L173,Track 1-03
1014630,ISRC,BE-Z45-99-10604,Track 1-04
1014630,ISRC,BE-Z45-06-00714,Track 1-05
1014630,ISRC,BE-Z45-98-30601,Track 1-06
1014630,ISRC,BE-Z45-98-60401,Track 1-07
1014630,ISRC,BE-Z45-98-20702,Track 1-08
1014630,ISRC,BE-Z45-00-30604,Track 1-09
1014630,ISRC,BE-Z45-01-00401,Track 1-10
1014630,ISRC,BE-Z45-00-30502,Track 1-11
1014630,ISRC,BE-Y92-06-10529,Track 1-12
1014630,ISRC,BE-Z45-98-50601,Track 2-01
1014630,ISRC,BE-Z45-01-00604,Track 2-02
1014630,ISRC,BE-Y92-06-00637,Track 2-03
1014630,ISRC,BE-Z45-02-20716,Track 2-04
1014630,ISRC,BE-Z45-06-21001,Track 2-05
1014630,ISRC,BE-Z45-05-00724,Track 2-06
1014630,ISRC,BE-Y92-06-00630,Track 2-07
1014630,ISRC,BE-Y92-04-00805,Track 2-08
1014630,ISRC,BE-Z45-03-00616,Track 2-09
1014630,ISRC,BE-Z45-98-10401,Track 2-10
1014630,ISRC,BE-Z45-00-00812,Track 2-11
1014630,ISRC,BE-Z45-99-01101,Track 2-12
1014630,ISRC,BE-Z45-98-40602,Track 3-01
1014630,ISRC,BE-Z45-00-00714,Track 3-02
1014630,ISRC,BE-Z45-06-00625,Track 3-03
1014630,ISRC,BE-Z45-00-10624,Track 3-04
1014630,ISRC,BE-Z45-01-00702,Track 3-05
1014630,ISRC,BE-Z45-06-00743,Track 3-06
1014630,ISRC,BE-Y92-06-00722,Track 3-07
1014630,ISRC,BE-Y92-04-00607,Track 3-08
1014630,ISRC,BE-Z45-00-01005,Track 3-09
1014630,ISRC,BE-Z45-02-00712,Track 3-10
1014630,ISRC,BE-Z45-00-01006,Track 3-11
1014630,ISRC,BE-Z45-06-00688,Track 3-12
1014630,ISRC,BE-Z45-00-40607,Track 4-01
1014630,ISRC,BE-Z45-06-00624,Track 4-02
1014630,ISRC,BE-Y92-04-00110,Track 4-03
1014630,ISRC,BE-Z45-99-00607,Track 4-04
1014630,ISRC,BE-Z45-99-00702,Track 4-05
1014630,ISRC,BE-Z45-00-00512,Track 4-06
1014630,ISRC,BE-Z45-00-00621,Track 4-07
1014630,ISRC,BE-Z45-99-10701,Track 4-08
1014630,ISRC,BE-Z45-01-00607,Track 4-09
1014630,ISRC,BE-Z45-01-41605,Track 4-10
1014630,ISRC,BE-Z45-01-01027,Track 4-11
1014630,ISRC,BE-Z45-01-30704,Track 4-12
1014630,ISRC,BE-Z45-00-11008,
1014630,ISRC,BE-Y92-04-10212,
1014630,ISRC,BE-Z45-02-10717,
1017133,Barcode,3596971200220,Scanned
1017133,Price Code,WAG 837,nova 1981
1017133,Matrix / Runout,3120022CD1 #1,nova 1981
1017133,Mould SID Code,IFPI 3209,nova 1982
1017133,Matrix / Runout,3120022CD2 #1,nova 1982
1017133,Mould SID Code,IFPI 3311,nova 1983
1017133,Matrix / Runout,3120022CD3 #1,nova 1983
1017133,Matrix / Runout,IFPI 3206,nova 1984
1017133,Matrix / Runout,3120022CD4 #1,nova 1984
1017133,Mould SID Code,IFPI 3206,nova 1985
1017133,Matrix / Runout,3120022CD5 #1,nova 1985
1017133,Mould SID Code,IFPI 3204,nova 1986
1017133,Matrix / Runout,3120022CD6 #1,nova 1986
1017133,Mould SID Code,IFPI 3206,nova 1987
1017133,Matrix / Runout,3120022CD7 #1,nova 1987
1017133,Matrix / Runout,IFPI 3206,nova 1988
1017133,Matrix / Runout,3120022CD8 #1,nova 1988
1017133,Mastering SID Code,IFPI L193,nova 1988
1017133,Mould SID Code,IFPI 3209,nova 1989
1017133,Matrix / Runout,3120022CD9 #1,nova 1989
1017133,Mould SID Code,IFPI 3204,nova 1990
1017133,Matrix / Runout,3120022CD10 #1,nova 1990
1017133,Mould SID Code,IFPI 3206,nova 1991
1017133,Matrix / Runout,3120022CD11 #1,nova 1991
1017133,Mould SID Code,IFPI 3206,nova 1992
1017133,Matrix / Runout,3120022CD12 #1,nova 1992
1017133,Mould SID Code,IFPI 3311,nova 1993
1017133,Matrix / Runout,3120022CD13 #1,nova 1993
1017133,Mould SID Code,IFPI 3209,nova 1994
1017133,Matrix / Runout,3120022CD14 #1,nova 1994
1017133,Mould SID Code,IFPI 3209,nova 1995
1017133,Matrix / Runout,3120022CD15 #1,nova 1995
1017133,Mould SID Code,IFPI 3206,nova 1996
1017133,Matrix / Runout,3120022CD16 #1,nova 1996
1017133,Mould SID Code,IFPI 3223,nova 1997
1017133,Matrix / Runout,3120022CD17 #1,nova 1997
1017133,Mould SID Code,IFPI 3311,nova 1998
1017133,Matrix / Runout,3120022CD18#1,nova 1998
1017133,Mould SID Code,IFPI 3204,nova 1999
1017133,Matrix / Runout,3120022CD19 #1,nova 1999
1017133,Mould SID Code,IFPI 3204,nova 2000
1017133,Matrix / Runout,3120022CD20 #1,nova 2000
1017133,Mould SID Code,IFPI 3223,nova 2001
1017133,Matrix / Runout,3120022CD21 #1,nova 2001
