id_main,count,average
100030,18,4.0
100036,33,3.94
100050,8,4.25
10028704,3,4.0
10028974,4,5.0
10039902,0,0.0
10045492,14,4.21
10055810,7,4.43
100654,25,4.08
10066421,2,5.0
10082296,1,4.0
100833,24,3.88
10094904,3,4.0
10097790,11,4.09
1010154,33,3.88
101026,30,4.43
10117670,6,3.83
101339,61,4.43
1013755,24,4.67
10144284,0,0.0
1014630,28,4.29
1017133,43,4.51
1019169,17,4.59
10212447,0,0.0
1021298,14,3.79
10217861,0,0.0
102185,81,4.01
102252,33,4.0
10233162,2,5.0
1026849,38,4.21
10269061,5,3.0
102802,21,4.38
103032,24,3.92
10325934,0,0.0
10327535,1,4.0
10332190,1,2.0
10343749,5,4.2
10357353,16,4.13
10365073,8,4.0
10369244,1,5.0
10396063,1,5.0
10396452,25,4.16
1040908,46,4.02
10414894,9,4.11
1042422,1,4.0
1043582,9,4.33
1044111,8,3.5
10444779,4,3.25
10444835,5,4.8
10460477,0,0.0
